id,chat_sum,chat_avg,chat_word_count
R_1Kd2dW9SQ0pq9Ei,600.1399999999999,2.575708154506437,233
R_1GB4YYcyJw9jv9D,0,0,0
R_1f2UHDUECO2Vt3y,6.199999999999999,3.0999999999999996,2
R_3FVyrPvLszTJz9n,357.54,2.465793103448276,145
R_1laDlKJrSONikQI,191.1600000000001,2.3031325301204832,83
R_1Kd2dW9SQ0pq9Ei,10.06,2.012,5
R_3fjjm4xt6D5uxNM,256.08,2.393271028037383,107
R_2wERGvRwYQzuYnX,273.0500000000001,2.7034653465346548,101
R_1ms0M8WUnODhMZQ,22.26,2.4733333333333336,9
R_3KqNzPwhCxHoSHN,316.53999999999996,2.512222222222222,126
R_1ms0M8WUnODhMZQ,326.08,2.3628985507246374,138
R_2CTWETNIEUQJ3DT,190.82999999999996,2.5109210526315784,76
R_vrHOjRwH01rskIV,181.11000000000007,2.550845070422536,71
R_2EfRQXvW2bA0xk3,542.2099999999999,2.606778846153846,208
R_1Kd2dW9SQ0pq9Ei,659.81,2.537730769230769,260
R_8vPlDk8f9d0VOKt,7.06,1.765,4
R_31m7XXP9rv0GbbI,167.73,3.0496363636363633,55
R_31m7XXP9rv0GbbI,639.2199999999999,2.7792173913043476,230
R_1FrXp1gllBBFtky,393.1900000000002,2.4574375000000015,160
R_wRBPzJAFwoDlS9j,145.15000000000003,2.8460784313725496,51
R_3KqNzPwhCxHoSHN,290.59,2.4836752136752134,117
R_eEUCP2hab5DGnEl,462.27000000000004,2.4720320855614974,187
R_2CTWETNIEUQJ3DT,2.0,2.0,1
R_3n9t2fo12MEIAL8,353.58000000000004,2.5808759124087595,137
R_1IWQrJfX3JvWlAJ,10.37,2.074,5
R_1IWQrJfX3JvWlAJ,491.3800000000001,2.507040816326531,196
R_xg44bC6oyRiJ333,371.5799999999999,2.4771999999999994,150
R_21aZaaveNKejSfy,276.15000000000003,2.4438053097345134,113
R_D1yazAYEODZRvFL,139.87000000000003,2.2929508196721318,61
R_1IWQrJfX3JvWlAJ,492.8499999999997,2.5669270833333315,192
R_3G1E2kN11NxmQ8o,175.56,2.6202985074626866,67
R_1M5qLFZxmceYsUd,269.61000000000007,2.3859292035398236,113
R_31QOiHcypIdUsOx,327.2000000000002,2.5169230769230784,130
R_3NVXiwrpe0ZTR0d,1.63,1.63,1
R_3s5K3nM3hIAVgK6,294.61000000000007,2.4757142857142864,119
R_242UGJjZz877WU1,269.16000000000014,2.4922222222222237,108
R_00Og1kF8lkKh1OF,204.51000000000002,2.4940243902439025,82
R_1239ReYubRCTMJn,389.80000000000007,2.5311688311688316,154
R_sLFZkGgrBH4oa1r,357.3899999999998,2.571151079136689,139
R_2e816JyDXY4l33S,332.79,2.521136363636364,132
R_qEMKx8hjhlLcCFH,636.6099999999996,2.5362948207171296,251
R_3MaMszzonfKgAqD,69.12,2.3040000000000003,30
R_3lS6lWoltV4kUW7,636.7599999999994,2.6531666666666642,240
R_27JNo3wZArk1nXs,256.48000000000013,2.590707070707072,99
R_2s7JsOPavp0BLwK,743.7799999999996,2.42273615635179,307
R_CeuqCeljX5zdhId,390.7599999999999,2.658231292517006,147
R_1MYvlPGcJGbkpi0,362.7699999999998,2.7072388059701478,134
R_3qKU1rgvkc8YNt2,419.8099999999999,2.6570253164556954,158
R_2ZDJaJ3F3OGHo1Y,373.65,2.4106451612903226,155
R_PvwmlCfbvh6Qld7,178.46000000000006,2.444657534246576,73
R_XAPyWdzoGy39mg1,211.45000000000002,2.610493827160494,81
R_322Oz0NhVfDI6hK,299.69,2.4365040650406504,123
R_3Pq5V8yGYflSHHr,258.3300000000001,2.5326470588235304,102
R_2PbMMfRYdnhzTOB,278.93,2.582685185185185,108
R_2xE0ng9wwyU29HP,176.73000000000008,2.524714285714287,70
R_1pncL9Ez7Ndsvnc,232.27000000000018,2.4449473684210545,95
R_2tDwFSidJTsW03s,324.62999999999994,2.4408270676691726,133
R_1E6eucNcICPTOdW,345.6000000000001,2.5226277372262778,137
R_3CZrVPVUHLN9fIP,174.00000000000003,2.558823529411765,68
R_1iffEn9LvfOpaz2,239.14999999999992,2.544148936170212,94
R_1ewR58Lwi3dCziv,120.59000000000002,2.7406818181818187,44
R_3G7crpj2E1vAeLH,281.12,2.703076923076923,104
R_3fIhUkA6W09Qvzf,167.29000000000005,2.4968656716417916,67
R_27pP64SVDZJ4NQY,0,0,0
R_1C9E3GUyylkJVdC,539.6999999999999,2.498611111111111,216
R_1DTKF3XF0ut8vsi,331.80999999999995,2.4397794117647056,136
R_1GV3QT9qiyVxJJ2,154.70000000000002,2.4555555555555557,63
R_1QhXQXPYbAC29rK,69.29000000000002,2.389310344827587,29
R_1nVLNgBhRWelOFn,425.4000000000001,2.51715976331361,169
R_1kNyoLQyje0VGfI,81.16000000000003,2.3870588235294123,34
R_26mSnu8WsMtROPX,207.32000000000002,2.5595061728395065,81
R_p4qEHgLRv0gsdjP,363.2400000000001,2.5761702127659585,141
R_1LkAtwsd6iimaGG,221.17000000000013,2.571744186046513,86
R_2R3Wn7UHfZTYiaB,251.40000000000018,2.394285714285716,105
R_1i4DpQsg0xxfiqu,321.28,2.51,128
R_3lQ473EttpZ1Igh,496.27000000000027,2.558092783505156,194
R_1JY2BthjcD6mcyA,146.94,2.533448275862069,58
R_2zBbFn9lio7drNP,172.08999999999995,2.5685074626865663,67
R_2uJW5UKp8Movioa,352.04,2.3786486486486487,148
R_1IQ7i8YbL3LA82F,5.47,2.735,2
